org,proyecto,usuario,avatar_url,pr_number,pr_title,merged_at,merged_date,url,additions,deletions,changed_lines
dogecoin,dogecoin,patricklodder,https://avatars.githubusercontent.com/u/1410115?v=4,1231,Re-enable SuperMajority triggered activation for v2 block constraints,2015-08-10T19:24:39Z,2015-08-10,https://github.com/dogecoin/dogecoin/pull/1231,,,
dogecoin,dogecoin,patricklodder,https://avatars.githubusercontent.com/u/1410115?v=4,1234,Enable block constraints for BIP16 and 30 properly,2015-08-10T19:07:35Z,2015-08-10,https://github.com/dogecoin/dogecoin/pull/1234,,,
dogecoin,dogecoin,rnicoll,https://avatars.githubusercontent.com/u/3513077?v=4,1224,Add paper wallet generator to QT wallet,2015-08-07T21:29:55Z,2015-08-07,https://github.com/dogecoin/dogecoin/pull/1224,,,
dogecoin,dogecoin,rnicoll,https://avatars.githubusercontent.com/u/3513077?v=4,1226,Update QT client messages and corresponding translations,2015-08-07T20:38:51Z,2015-08-07,https://github.com/dogecoin/dogecoin/pull/1226,,,
dogecoin,dogecoin,kaykurokawa,https://avatars.githubusercontent.com/u/7075051?v=4,1227,changing CAmount (is a int64_t) to arith_uint256 for nTotalAmount ,2015-08-07T09:45:02Z,2015-08-07,https://github.com/dogecoin/dogecoin/pull/1227,,,
dogecoin,dogecoin,rnicoll,https://avatars.githubusercontent.com/u/3513077?v=4,1220,Revised payment request handling to use genesis block hash,2015-08-06T20:14:47Z,2015-08-06,https://github.com/dogecoin/dogecoin/pull/1220,,,
dogecoin,dogecoin,rnicoll,https://avatars.githubusercontent.com/u/3513077?v=4,1225,Update time-based constants,2015-08-06T18:17:18Z,2015-08-06,https://github.com/dogecoin/dogecoin/pull/1225,,,
dogecoin,libdohj,patricklodder,https://avatars.githubusercontent.com/u/1410115?v=4,3,add the right dns seeds for mainnet,2015-08-06T12:57:27Z,2015-08-06,https://github.com/dogecoin/libdohj/pull/3,,,
dogecoin,dogecoin,rnicoll,https://avatars.githubusercontent.com/u/3513077?v=4,1222,Added wallet_bgcoin.png to QT makefile,2015-08-04T06:11:16Z,2015-08-04,https://github.com/dogecoin/dogecoin/pull/1222,,,
dogecoin,dogecoin,langerhans,https://avatars.githubusercontent.com/u/5160000?v=4,1221,Fix the basic and some of the extended RPC tests,2015-08-02T19:34:53Z,2015-08-02,https://github.com/dogecoin/dogecoin/pull/1221,,,
dogecoin,dogecoin,rnicoll,https://avatars.githubusercontent.com/u/3513077?v=4,1218,Update Bitcoin references and addresses in strings to Dogecoin,2015-08-02T13:18:46Z,2015-08-02,https://github.com/dogecoin/dogecoin/pull/1218,,,
dogecoin,dogecoin,rnicoll,https://avatars.githubusercontent.com/u/3513077?v=4,1214,Introduce basic Dogecoin branding,2015-08-02T11:20:02Z,2015-08-02,https://github.com/dogecoin/dogecoin/pull/1214,,,
dogecoin,dogecoin,rnicoll,https://avatars.githubusercontent.com/u/3513077?v=4,1217,Update checkpoints,2015-08-01T15:22:05Z,2015-08-01,https://github.com/dogecoin/dogecoin/pull/1217,,,
dogecoin,dogecoin,langerhans,https://avatars.githubusercontent.com/u/5160000?v=4,1213,Minor fixes to concensus relevant parameters,2015-07-31T19:45:56Z,2015-07-31,https://github.com/dogecoin/dogecoin/pull/1213,,,
dogecoin,dogecoin,rnicoll,https://avatars.githubusercontent.com/u/3513077?v=4,1204,Add Dogecoin current fee calculation logic,2015-07-31T18:16:46Z,2015-07-31,https://github.com/dogecoin/dogecoin/pull/1204,,,
dogecoin,dogecoin,rnicoll,https://avatars.githubusercontent.com/u/3513077?v=4,1215,Add chain height when fetching consensus parameters in initialization,2015-07-30T19:38:07Z,2015-07-30,https://github.com/dogecoin/dogecoin/pull/1215,,,
dogecoin,dogecoin,rnicoll,https://avatars.githubusercontent.com/u/3513077?v=4,1207,Bring client up to date with Bitcoin Core 0.11.0,2015-07-30T18:37:58Z,2015-07-30,https://github.com/dogecoin/dogecoin/pull/1207,,,
